data_id,method,mean,sd,lower,upper
color dummies,hierarchical,0.4026866666666667,0.0215231286594099,0.3947948528248831,0.41237207456340114
color dummies,kmeans,0.6261366666666667,0.13201777242735588,0.5728894984542998,0.7405520694370418
color dummies,pam,0.5288666666666667,0.026643800673638113,0.5161664550122326,0.5443200710573768
color dummies and interactions,hierarchical,0.6158633333333333,0.07814463168535006,0.5778329459131296,0.6762951818366707
color dummies and interactions,kmeans,0.7007966666666666,0.061999447383991775,0.6642221593307268,0.7514347153175419
color dummies and interactions,pam,0.6141933333333334,0.04197274115290515,0.5918078713851173,0.6434343430031906
interactions,hierarchical,0.68415,0.04858227802128815,0.6561342196743906,0.7217202950031295
interactions,kmeans,0.6887533333333333,0.04058740696658186,0.6642689800807429,0.7197350539844908
interactions,pam,0.7073133333333333,0.040771718680419476,0.681902359665762,0.7392511796329952
numeric,hierarchical,0.69402,0.04849595988112265,0.6650840772709301,0.7324934615056906
numeric,kmeans,0.7105666666666667,0.03880329490772266,0.6859944801663513,0.7409658146189584
numeric,pam,0.7166433333333333,0.038989994552843764,0.691692985985726,0.7473154623815704
